FollowsByCommunity,screenName,followers_count,location,name,created_at,description
662,MID_RF,1165499,Москва,МИД России 🇷🇺,2011-02-21 13:46:34,"Официальный аккаунт МИД России 🇷🇺 (For tweets in English - @MFA_Russia, Cuenta en Español - @MAE_Rusia, صفحة باللغة العربية - @russia_ar )"
651,mfa_russia,291048,Russia,MFA Russia 🇷🇺,2011-02-21 12:45:22,Official account of the Ministry of Foreign Affairs of Russia 🇷🇺 | Country's account @Russia | По-русски @MID_RF | Cuenta en Español @MAE_Rusia https://t.co/kWMm8F3R7u
455,KremlinRussia,3447788,"Москва, Россия",Президент России,2010-06-23 07:02:23,Кремль. Официальные новости
370,KremlinRussia_E,912752,"Moscow, Russian Federation",President of Russia,2010-10-21 08:06:17,Official Kremlin news
261,Pravitelstvo_RF,633941,Москва,Правительство России,2012-07-13 15:18:28,"Новости о Председателе Правительства России и Правительстве России. 
For tweets in English, follow @GovernmentRF"
258,MedvedevRussia,4640251,"Россия, Москва",Дмитрий Медведев,2010-06-09 14:56:12,Заместитель Председателя Совета Безопасности Российской Федерации. Аккаунт на английском - @MedvedevRussiaE
216,mod_russia,220727,Москва,Минобороны России,2014-08-18 13:14:39,Министерство обороны Российской Федерации | Ministry of Defence of the Russian Federation
201,GovernmentRF,241444,Moscow,Government of Russia,2012-07-12 14:55:41,Follow news on the work of the Prime Minister and the Russian Government in English. Аккаунт на русском языке - @Pravitelstvo_RF
186,dumagovru,923610,"Россия, Москва",Государственная Дума,2010-08-11 14:06:30,Официальные новости Государственной Думы Федерального Собрания Российской Федерации. For English tweets follow https://t.co/mcL09caVPr
172,Russia,297079,Russia,Russia 🇷🇺,2014-11-13 11:36:44,"Find inspiring, fresh insights from #Russia❗ Home to more than 190 ethnic groups & authentic cultures, with 11 time & 7 climate zones. 🏞 Feel our warm welcome❤"
169,MedvedevRussiaE,1015664,"Moscow, Russia",Dmitry Medvedev,2010-06-09 14:36:47,"Deputy Chair of the Security Council of the Russian Federation. For tweets in Russian, follow @MedvedevRussia"
117,rianru,2708394,Russia,РИА Новости,2009-04-22 05:54:08,"Официальный аккаунт сайта https://t.co/7O6yCVPHzN, МИА Россия сегодня. Читайте также @riabreakingnews"
92,channelone_rus,3015638,Russia,Первый канал,2009-12-28 10:30:23,Официальный Twitter аккаунт Первого канала России
91,VRSoloviev,1403057,Moscow,Vladimir Soloviev,2010-05-22 15:55:38,https://t.co/2FXUfgvo9s
90,vesti_news,3058612,Russia,ВЕСТИ,2009-09-08 10:53:39,Официальный аккаунт сайта Вести.Ru
77,MchsRussia,739459,Россия,МЧС России,2010-12-06 17:30:24,"Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий https://t.co/t8yWdVMSfr"
74,SovFedInfo,160034,Российская Федерация,Совет Федерации,2013-11-25 04:41:54,Официальный Twitter-аккаунт Совета Федерации Федерального Собрания Российской Федерации
71,moscowgov,10721,"Москва, Россия",Moscow,2016-06-22 16:16:58,This is the official twitter of the Mayor and the Moscow government. Аккаунт на русском языке – @moscow
70,RusEmbUSA,75560,"Washington, DC",Russian Embassy in USA 🇷🇺,2013-03-14 20:05:50,Official Twitter feed of the Russian Embassy in the USA @RussiaInUSA🇷🇺 https://t.co/nD3IOptgxN Subscribe to Weekly Newsletter: https://t.co/UNu8X9DXPQ
69,RT_com,2997365,,RT,2009-08-11 06:12:45,"Freedom over censorship, truth over narrative

On air in 100+ countries. 10+ billion video views in 2020

Don’t want your news filtered - find us at https://t.co/9V8JaMqU2C"
66,natomission_ru,561566,"Brussels, Belgium",Russian Mission to NATO 🇷🇺,2010-09-07 11:28:21,Twitter Feed of the Permanent Mission of Russia to NATO
